n,room,time
99,basic,47.64
99,basic,48.44
99,basic,47.8
99,basic,48.48
97,basic,47.64
97,basic,47.56
97,basic,48.96
97,basic,46.76
95,basic,46.08
95,basic,47.0
95,basic,45.76
95,basic,47.32
93,basic,45.36
93,basic,44.8
93,basic,44.36
93,basic,45.2
91,basic,44.08
91,basic,44.76
91,basic,45.24
91,basic,44.92
89,basic,43.0
89,basic,43.72
89,basic,43.8
89,basic,42.72
87,basic,42.88
87,basic,42.04
87,basic,42.36
87,basic,41.24
85,basic,40.44
85,basic,40.8
85,basic,39.88
85,basic,41.56
83,basic,40.32
83,basic,40.44
83,basic,42.12
83,basic,41.48
179,jonesRoom,87.2
179,jonesRoom,87.0
179,jonesRoom,87.24
179,jonesRoom,86.68
177,jonesRoom,85.12
177,jonesRoom,85.76
177,jonesRoom,85.56
177,jonesRoom,86.64
175,jonesRoom,85.72
175,jonesRoom,85.44
175,jonesRoom,87.6
175,jonesRoom,85.28
173,jonesRoom,84.0
