n,room,time
65,basic,31.2
65,basic,31.68
65,basic,32.4
65,basic,31.4
65,basic,32.48
65,basic,32.28
65,basic,31.44
67,basic,34.84
67,basic,32.36
67,basic,33.12
67,basic,32.8
67,basic,31.88
67,basic,32.8
67,basic,33.76
67,basic,32.32
67,basic,33.0
67,basic,33.92
67,basic,32.4
67,basic,32.68
69,basic,35.0
69,basic,34.36
69,basic,33.36
69,basic,33.24
69,basic,34.12
69,basic,34.24
69,basic,34.52
69,basic,35.08
69,basic,34.24
69,basic,34.4
69,basic,33.68
69,basic,34.6
71,basic,35.32
71,basic,34.52
71,basic,34.4
71,basic,34.12
71,basic,34.44
71,basic,34.64
71,basic,34.6
71,basic,35.84
71,basic,34.92
71,basic,34.12
71,basic,34.4
71,basic,34.4
71,basic,33.8
73,basic,35.28
73,basic,36.48
73,basic,35.72
73,basic,36.44
73,basic,35.8
73,basic,36.24
73,basic,35.92
73,basic,36.64
73,basic,35.56
73,basic,36.48
73,basic,35.48
73,basic,36.52
73,basic,36.84
73,basic,36.44
73,basic,34.72
73,basic,36.16
75,basic,35.96
75,basic,38.32
75,basic,36.04
75,basic,36.64
75,basic,36.8
75,basic,36.88
75,basic,37.64
75,basic,37.16
75,basic,36.92
75,basic,37.88
75,basic,36.32
75,basic,36.84
75,basic,35.36
75,basic,36.36
75,basic,37.0
75,basic,36.12
75,basic,35.96
77,basic,37.36
77,basic,35.8
77,basic,37.08
77,basic,37.28
77,basic,37.68
77,basic,37.92
77,basic,36.4
77,basic,36.8
77,basic,39.72
77,basic,38.52
77,basic,38.12
77,basic,38.8
77,basic,38.0
77,basic,37.04
77,basic,37.64
77,basic,38.24
77,basic,39.52
77,basic,37.6
77,basic,38.4
77,basic,37.84
79,basic,37.2
79,basic,38.24
79,basic,38.92
79,basic,37.12
79,basic,38.84
79,basic,38.84
79,basic,39.2
79,basic,38.64
79,basic,39.32
79,basic,39.68
79,basic,38.36
79,basic,39.56
79,basic,37.92
79,basic,38.2
79,basic,38.48
79,basic,38.0
79,basic,38.56
79,basic,37.0
79,basic,39.72
79,basic,37.52
81,basic,39.56
81,basic,39.88
81,basic,38.68
81,basic,40.4
81,basic,39.2
81,basic,38.92
81,basic,40.36
81,basic,40.12
81,basic,39.88
81,basic,39.72
81,basic,39.88
81,basic,39.36
81,basic,38.64
81,basic,38.4
81,basic,39.2
81,basic,38.6
81,basic,40.44
81,basic,39.24
81,basic,40.36
83,basic,40.72
83,basic,39.64
83,basic,40.4
83,basic,40.16
83,basic,40.56
83,basic,39.28
83,basic,41.68
83,basic,40.76
83,basic,40.16
83,basic,41.0
83,basic,40.36
83,basic,41.56
83,basic,40.4
83,basic,40.16
83,basic,41.36
83,basic,40.4
83,basic,40.32
83,basic,40.44
83,basic,42.12
83,basic,41.48
85,basic,42.32
85,basic,42.4
85,basic,40.64
85,basic,42.4
85,basic,41.72
85,basic,40.72
85,basic,41.44
85,basic,42.96
85,basic,41.48
85,basic,41.08
85,basic,40.52
85,basic,40.64
85,basic,42.08
85,basic,41.4
85,basic,40.16
85,basic,39.8
85,basic,40.44
85,basic,40.8
85,basic,39.88
85,basic,41.56
87,basic,43.56
87,basic,43.16
87,basic,41.72
87,basic,42.44
87,basic,42.56
87,basic,42.2
87,basic,42.28
87,basic,41.88
87,basic,41.16
